id,name,category,subcategory,executor_types,tags,file_path,status
architect-checklist,Architect Checklist,checklist,quality,Agent,checklist;quality;architect;validation,.aios-core/product/checklists/architect-checklist.md,active
change-checklist,Change Checklist,checklist,quality,Agent,checklist;quality;change;validation,.aios-core/product/checklists/change-checklist.md,active
pm-checklist,Pm Checklist,checklist,quality,Agent,checklist;quality;validation,.aios-core/product/checklists/pm-checklist.md,active
po-master-checklist,Po Master Checklist,checklist,quality,Agent,checklist;quality;master;validation;product,.aios-core/product/checklists/po-master-checklist.md,active
story-dod-checklist,Story Dod Checklist,checklist,quality,Agent,checklist;quality;story;dod;validation;product,.aios-core/product/checklists/story-dod-checklist.md,active
story-draft-checklist,Story Draft Checklist,checklist,quality,Agent,checklist;quality;story;draft;validation;product,.aios-core/product/checklists/story-draft-checklist.md,active
agent-config-requirements,Agent Config Requirements,data,configuration,Agent,data;configuration;agent;config;requirements,.aios-core/core/data/agent-config-requirements.yaml,active
aios-kb,Aios Kb,data,knowledge,Agent,data;knowledge;aios,.aios-core/core/data/aios-kb.md,active
workflow-patterns,Workflow Patterns,data,configuration,Agent,data;configuration;workflow;patterns,.aios-core/core/data/workflow-patterns.yaml,active
aios-validator,Aios Validator,script,validation,CLI;Script,script;validation;aios;validator,.aios-core/infrastructure/scripts/aios-validator.js,active
approval-workflow,Approval Workflow,script,utility,CLI;Script,script;utility;approval;workflow,.aios-core/infrastructure/scripts/approval-workflow.js,active
atomic-layer-classifier,Atomic Layer Classifier,script,utility,CLI;Script,script;utility;atomic;layer;classifier,.aios-core/infrastructure/scripts/atomic-layer-classifier.js,active
backup-manager,Backup Manager,script,management,CLI;Script,script;management;backup;manager,.aios-core/infrastructure/scripts/backup-manager.js,active
batch-creator,Batch Creator,script,utility,CLI;Script,script;utility;batch;creator,.aios-core/infrastructure/scripts/batch-creator.js,active
branch-manager,Branch Manager,script,management,CLI;Script,script;management;branch;manager,.aios-core/infrastructure/scripts/branch-manager.js,active
capability-analyzer,Capability Analyzer,script,analysis,CLI;Script,script;analysis;capability;analyzer,.aios-core/infrastructure/scripts/capability-analyzer.js,active
clickup-helpers,Clickup Helpers,script,utility,CLI;Script,script;utility;clickup;helpers,.aios-core/infrastructure/scripts/clickup-helpers.js,active
code-quality-improver,Code Quality Improver,script,utility,CLI;Script,script;utility;code;quality;improver,.aios-core/infrastructure/scripts/code-quality-improver.js,active
commit-message-generator,Commit Message Generator,script,generation,CLI;Script,script;generation;commit;message;generator,.aios-core/infrastructure/scripts/commit-message-generator.js,active
component-generator,Component Generator,script,generation,CLI;Script,script;generation;component;generator;product,.aios-core/infrastructure/scripts/component-generator.js,active
component-metadata,Component Metadata,script,utility,CLI;Script,script;utility;component;metadata;product,.aios-core/infrastructure/scripts/component-metadata.js,active
component-search,Component Search,script,utility,CLI;Script,script;utility;component;search;product,.aios-core/infrastructure/scripts/component-search.js,active
config-cache,Config Cache,script,configuration,CLI;Script,script;configuration;config;cache,.aios-core/infrastructure/scripts/config-cache.js,active
config-loader,Config Loader,script,configuration,CLI;Script,script;configuration;config;loader,.aios-core/infrastructure/scripts/config-loader.js,active
conflict-resolver,Conflict Resolver,script,utility,CLI;Script,script;utility;conflict;resolver,.aios-core/infrastructure/scripts/conflict-resolver.js,active
coverage-analyzer,Coverage Analyzer,script,analysis,CLI;Script,script;analysis;coverage;analyzer,.aios-core/infrastructure/scripts/coverage-analyzer.js,active
dependency-analyzer,Dependency Analyzer,script,analysis,CLI;Script,script;analysis;dependency;analyzer,.aios-core/infrastructure/scripts/dependency-analyzer.js,active
dependency-impact-analyzer,Dependency Impact Analyzer,script,analysis,CLI;Script,script;analysis;dependency;impact;analyzer,.aios-core/infrastructure/scripts/dependency-impact-analyzer.js,active
diff-generator,Diff Generator,script,generation,CLI;Script,script;generation;diff;generator,.aios-core/infrastructure/scripts/diff-generator.js,active
documentation-synchronizer,Documentation Synchronizer,script,utility,CLI;Script,script;utility;documentation;synchronizer,.aios-core/infrastructure/scripts/documentation-synchronizer.js,active
framework-analyzer,Framework Analyzer,script,analysis,CLI;Script,script;analysis;framework;analyzer,.aios-core/infrastructure/scripts/framework-analyzer.js,active
git-config-detector,Git Config Detector,script,configuration,CLI;Script,script;configuration;git;config;detector,.aios-core/infrastructure/scripts/git-config-detector.js,active
git-wrapper,Git Wrapper,script,utility,CLI;Script,script;utility;git;wrapper,.aios-core/infrastructure/scripts/git-wrapper.js,active
improvement-engine,Improvement Engine,script,utility,CLI;Script,script;utility;improvement;engine,.aios-core/infrastructure/scripts/improvement-engine.js,active
improvement-validator,Improvement Validator,script,validation,CLI;Script,script;validation;improvement;validator,.aios-core/infrastructure/scripts/improvement-validator.js,active
modification-risk-assessment,Modification Risk Assessment,script,utility,CLI;Script,script;utility;modification;risk;assessment,.aios-core/infrastructure/scripts/modification-risk-assessment.js,active
modification-validator,Modification Validator,script,validation,CLI;Script,script;validation;modification;validator,.aios-core/infrastructure/scripts/modification-validator.js,active
output-formatter,Output Formatter,script,utility,CLI;Script,script;utility;output;formatter,.aios-core/infrastructure/scripts/output-formatter.js,active
performance-analyzer,Performance Analyzer,script,analysis,CLI;Script,script;analysis;performance;analyzer,.aios-core/infrastructure/scripts/performance-analyzer.js,active
